"","umpd_case_number","type","type_detail","disposition","date_incident","arrest_number","notes","race","sex","arrest_date"
"1152","2023-00082418","assist other agency (title ix related)","rape","active/pending","2023-09-16","NA","NA","NA","NA","NA"
"1153","2023-00082513","injured/sick person","NA","cbe","2023-09-16","NA","NA","NA","NA","NA"
"1154","2023-00082523","injured/sick person","NA","cbe","2023-09-16","NA","NA","NA","NA","NA"
"1155","2023-00082572","assist other agency","other","cbe","2023-09-16","NA","NA","NA","NA","NA"
"1156","2023-00082639","injured/sick person","NA","cbe","2023-09-17","NA","NA","NA","NA","NA"
"1157","2023-00082673","dwi/dui","NA","arrest","2023-09-17","23874","(Driving, Attempting to drive) veh. while under the influence of alcohol per se","black","male","2023-09-17"
"1158","2023-00082897","theft","NA","investigation pending","2023-09-16","NA","NA","NA","NA","NA"
"1159","2023-00083086","accident","NA","cbe","2023-09-14","NA","NA","NA","NA","NA"
"1160","2023-00083100","hate bias incident","NA","active/pending","2023-09-16","NA","NA","NA","NA","NA"
"1161","2023-00083132","theft","NA","investigation pending","2023-09-18","NA","NA","NA","NA","NA"
"1162","2023-00083133","other incident","NA","active/pending","2023-08-05","NA","NA","NA","NA","NA"
"1163","2023-00083147","rape (title ix related)","NA","investigation pending","2023-01-25","NA","NA","NA","NA","NA"
"1164","2023-00083160","theft","NA","investigation pending","2023-09-15","NA","NA","NA","NA","NA"
"1165","2023-00083161","theft","NA","investigation pending","2023-09-15","NA","NA","NA","NA","NA"
"1166","2023-00083203","theft","NA","investigation pending","2023-09-15","NA","NA","NA","NA","NA"
"1167","2023-00083205","injured/sick person","NA","cbe","2023-09-18","NA","NA","NA","NA","NA"
"1168","2023-00083355","assist other agency","assault","cbe","2023-09-19","NA","NA","NA","NA","NA"
"1169","2023-00083356","sex offense (title ix related)","NA","arrest","2023-09-19","23873","ASSAULT-SEC DEGREE-Simple, Not Aggravated; Sex Offense- 4TH Degree-Sex Contact","black","male","2023-09-25"
"1170","2023-00083357","pedestrian struck","NA","cbe","2023-09-19","NA","NA","NA","NA","NA"
"1171","2023-00083362","theft","NA","cbe","2023-09-07","NA","NA","NA","NA","NA"
"1172","2023-00083391","theft","NA","summons issued","2023-09-19","NA","NA","NA","NA","NA"
"1173","2023-00083404","theft","NA","investigation pending","2023-09-19","NA","NA","NA","NA","NA"
"1174","2023-00083419","injured/sick person","NA","cbe","2023-09-19","NA","NA","NA","NA","NA"
"1175","2023-00083580","trespassing","NA","arrest","2023-09-20","23871","School Trespassing On Ground","black","male","2023-09-20"
"1176","2023-00083611","recovered stolen motor vehicle","NA","arrest","2023-09-20","23872","MOTOR VEHICLE/UNLAWFUL TAKING; Person driving motor veh. on (hwy., public use property) on suspended out of state lic. ; THEFT: $25,000 TO UNDER $100,000; Unauth Removal of Motor Vehicle","black","male","2023-09-20"
"1177","2023-00083638","dept property damage/loss","NA","cbe","2023-09-15","NA","NA","NA","NA","NA"
"1178","2023-00083670","theft","NA","investigation pending","2023-09-19","NA","NA","NA","NA","NA"
"1179","2023-00083677","theft","NA","cbe","2023-09-07","NA","NA","NA","NA","NA"
"1180","2023-00083678","theft","NA","cbe","2023-09-07","NA","NA","NA","NA","NA"
"1181","2023-00083679","theft","NA","cbe","2023-09-07","NA","NA","NA","NA","NA"
"1182","2023-00083707","injured/sick person","NA","cbe","2023-09-20","NA","NA","NA","NA","NA"
"1183","2023-00083715","injured officer","NA","cbe","2023-09-19","NA","NA","NA","NA","NA"
"1184","2023-00083764","theft","NA","investigation pending","2023-09-11","NA","NA","NA","NA","NA"
"1185","2023-00083836","injured/sick person","NA","cbe","2023-09-20","NA","NA","NA","NA","NA"
"1186","2023-00083844","assist other agency","other","cbe","2023-09-21","NA","NA","NA","NA","NA"
"1187","2023-00083886","dept property damage/loss","NA","cbe","2023-09-21","NA","NA","NA","NA","NA"
"1188","2023-00083927","theft","NA","investigation pending","2023-09-15","NA","NA","NA","NA","NA"
"1189","2023-00083935","other incident","NA","cbe","2023-09-20","NA","NA","NA","NA","NA"
"1190","2023-00084109","theft from auto","NA","investigation pending","2023-09-13","NA","NA","NA","NA","NA"
"1191","2023-00084123","damage to state property","NA","active/pending","2023-09-21","NA","NA","NA","NA","NA"
"1192","2023-00084160","injured/sick person","NA","cbe","2023-09-21","NA","NA","NA","NA","NA"
"1193","2023-00084181","dwi/dui","NA","arrest","2023-09-22","23881","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of (alcohol, alcohol per se) while transporting a minor","white","male","2023-09-22"
"1194","2023-00084254","assist other agency","theft","cbe","2023-09-06","NA","NA","NA","NA","NA"
"1195","2023-00084267","theft","NA","investigation pending","2023-09-15","NA","NA","NA","NA","NA"
"1196","2023-00084335","theft","NA","summons issued","2023-09-22","NA","NA","NA","NA","NA"
"1197","2023-00084397","assist other agency (title ix related)","title ix incident non criminal","active/pending","2023-09-22","NA","NA","NA","NA","NA"
"1198","2023-00084418","domestic","NA","arrest","2023-09-22","23879","ASSAULT-FIRST DEGREE; ASSAULT-SEC DEGREE-Hands,Fist,Feet,Etc-Aggravated Injury","white","female","2023-09-23"
"1199","2023-00084429","injured/sick person","NA","cbe","2023-09-23","NA","NA","NA","NA","NA"
"1200","2023-00084442","injured/sick person","NA","cbe","2023-09-23","NA","NA","NA","NA","NA"
"1201","2023-00084496","assist other agency","burglary","cbe","2023-09-22","NA","NA","NA","NA","NA"
"1202","2023-00084626","theft","NA","unfounded","2023-09-22","NA","NA","NA","NA","NA"
"1203","2023-00084643","assist other agency","suspicous person/auto","cbe","2023-09-24","NA","NA","NA","NA","NA"
"1204","2023-00084645","check on the  welfare","NA","cbe","2023-09-24","NA","NA","NA","NA","NA"
"1205","2023-00084646","injured/sick person","NA","cbe","2023-09-24","NA","NA","NA","NA","NA"
"1206","2023-00084653","injured/sick person","NA","cbe","2023-09-24","NA","NA","NA","NA","NA"
"1207","2023-00084690","accident - departmental","NA","cbe","2023-09-24","NA","NA","NA","NA","NA"
"1208","2023-00084751","theft","NA","active/pending","2023-09-22","NA","NA","NA","NA","NA"
"1209","2023-00084836","injured/sick person","NA","cbe","2023-09-24","NA","NA","NA","NA","NA"
"1210","2023-00084873","hate bias incident","NA","active/pending","2023-09-25","NA","NA","NA","NA","NA"
"1211","2023-00084912","theft from auto","NA","active/pending","2023-09-25","NA","NA","NA","NA","NA"
"1212","2023-00085051","theft","NA","active/pending","2023-09-25","NA","NA","NA","NA","NA"
"1213","2023-00085054","disorderly conduct","NA","active/pending","2023-09-25","NA","NA","NA","NA","NA"
"1214","2023-00085078","threat assessment","NA","active/pending","2023-09-22","NA","NA","NA","NA","NA"
"1215","2023-00085082","assist other agency","trespassing","cbe","2023-09-25","NA","NA","NA","NA","NA"
"1216","2023-00085084","injured/sick person","NA","cbe","2023-09-25","NA","NA","NA","NA","NA"
"1217","2023-00085085","suspicious activity","NA","cbe","2023-09-25","NA","NA","NA","NA","NA"
"1218","2023-00085086","emergency petition","NA","cbe","2023-09-25","NA","NA","NA","NA","NA"
"1219","2023-00085088","assist other agency","theft from auto","cbe","2023-09-22","NA","NA","NA","NA","NA"
"1220","2023-00085089","theft","NA","investigation pending","2023-09-24","NA","NA","NA","NA","NA"
"1221","2023-00085100","theft","NA","investigation pending","2023-09-25","NA","NA","NA","NA","NA"
"1222","2023-00085213","injured/sick person","NA","cbe","2023-09-26","NA","NA","NA","NA","NA"
"1223","2023-00085352","theft","NA","active/pending","2023-09-26","NA","NA","NA","NA","NA"
"1224","2023-00085354","other incident","NA","cbe","2023-09-26","NA","NA","NA","NA","NA"
"1225","2023-00085370","check on the  welfare","NA","cbe","2023-09-26","NA","NA","NA","NA","NA"
"1226","2023-00085406","assist other agency","robbery","cbe","2023-09-26","NA","NA","NA","NA","NA"
"1227","2023-00085448","other incident","NA","active/pending","2023-09-26","NA","NA","NA","NA","NA"
"1228","2023-00085449","injured/sick person","NA","cbe","2023-09-27","NA","NA","NA","NA","NA"
"1229","2023-00085569","theft","NA","investigation pending","2023-09-26","NA","NA","NA","NA","NA"
"1230","2023-00085724","injured/sick person","NA","cbe","2023-09-27","NA","NA","NA","NA","NA"
"1231","2023-00085726","assist other agency","other","cbe","2023-09-27","NA","NA","NA","NA","NA"
"1232","2023-00085734","injured/sick person","NA","cbe","2023-09-27","NA","NA","NA","NA","NA"
"1233","2023-00085775","vandalism","NA","investigation pending","2023-09-24","NA","NA","NA","NA","NA"
"1234","2023-00085810","other incident","NA","cbe","2023-09-27","NA","NA","NA","NA","NA"
"1235","2023-00085822","vandalism","NA","investigation pending","2023-09-27","NA","NA","NA","NA","NA"
"1236","2023-00085827","injured/sick person","NA","cbe","2023-09-27","NA","NA","NA","NA","NA"
"1237","2023-00085848","injured/sick person","NA","cbe","2023-09-28","NA","NA","NA","NA","NA"
"1238","2023-00085870","other incident","NA","cbe","2023-09-27","NA","NA","NA","NA","NA"
"1239","2023-00085910","injured/sick person","NA","cbe","2023-09-28","NA","NA","NA","NA","NA"
"1240","2023-00086000","emergency petition","NA","cbe","2023-09-28","NA","NA","NA","NA","NA"
"1241","2023-00086002","vandalism","NA","investigation pending","2023-09-28","NA","NA","NA","NA","NA"
"1242","2023-00086008","other incident","NA","cbe","2023-09-28","NA","NA","NA","NA","NA"
"1243","2023-00086019","theft","NA","active/pending","2023-09-08","NA","NA","NA","NA","NA"
"1244","2023-00086022","other incident","NA","active/pending","2023-09-12","NA","NA","NA","NA","NA"
"1245","2023-00086024","theft","NA","investigation pending","2023-09-28","NA","NA","NA","NA","NA"
"1246","2023-00086035","fraud","NA","investigation pending","2023-09-26","NA","NA","NA","NA","NA"
"1247","2023-00086042","injured/sick person","NA","cbe","2023-09-28","NA","NA","NA","NA","NA"
"1248","2023-00086090","emergency petition","NA","cbe","2023-09-28","NA","NA","NA","NA","NA"
"1249","2023-00086111","accident","NA","cbe","2023-09-28","NA","NA","NA","NA","NA"
"1250","2023-00086113","domestic","NA","arrest","2023-09-22","23880","ASSAULT-SEC DEGREE-Simple, Not Aggravated","black","male","2023-09-23"
"1251","2023-00086134","injured/sick person","NA","cbe","2023-09-28","NA","NA","NA","NA","NA"
"1252","2023-00086320","theft","NA","investigation pending","2023-09-28","NA","NA","NA","NA","NA"
"1253","2023-00086323","vandalism","NA","active/pending","2023-09-29","NA","NA","NA","NA","NA"
"1254","2023-00086337","vandalism","NA","investigation pending","2023-09-27","NA","NA","NA","NA","NA"
"1255","2023-00086341","theft","NA","investigation pending","2023-09-28","NA","NA","NA","NA","NA"
"1256","2023-00086371","theft","NA","investigation pending","2023-09-29","NA","NA","NA","NA","NA"
"1257","2023-00086446","hate bias incident","NA","active/pending","2023-09-15","NA","NA","NA","NA","NA"
"1258","2023-00086470","pedestrian struck","NA","cbe","2023-09-29","NA","NA","NA","NA","NA"
"1259","2023-00086623","assist other agency","assault","cbe","2023-09-30","NA","NA","NA","NA","NA"
"1260","2023-00086640","injured/sick person","NA","cbe","2023-09-30","NA","NA","NA","NA","NA"
"1261","2023-00086660","injured/sick person","NA","cbe","2023-09-30","NA","NA","NA","NA","NA"
"1262","2023-00086691","injured/sick person","NA","cbe","2023-09-30","NA","NA","NA","NA","NA"
"1263","2023-00086695","injured/sick person","NA","cbe","2023-09-30","NA","NA","NA","NA","NA"
"1264","2023-00086732","injured/sick person","NA","cbe","2023-09-30","NA","NA","NA","NA","NA"
"1265","2023-00086745","assist other agency","assault","cbe","2023-09-30","NA","NA","NA","NA","NA"
"1266","2023-00086807","vandalism","NA","investigation pending","2023-10-01","NA","NA","NA","NA","NA"
"1267","2023-00086835","injured/sick person","NA","cbe","2023-10-01","NA","NA","NA","NA","NA"
"1268","2023-00086956","vandalism","NA","investigation pending","2023-10-01","NA","NA","NA","NA","NA"
"1269","2023-00086973","injured/sick person","NA","cbe","2023-10-01","NA","NA","NA","NA","NA"
"1270","2023-00086978","injured/sick person","NA","cbe","2023-10-01","NA","NA","NA","NA","NA"
"1271","2023-00086986","injured/sick person","NA","cbe","2023-10-01","NA","NA","NA","NA","NA"
"1272","2023-00087006","assist other agency","theft from auto","cbe","2023-09-30","NA","NA","NA","NA","NA"
"1273","2023-00087054","assist other agency","theft from auto","cbe","2023-09-29","NA","NA","NA","NA","NA"
"1274","2023-00087058","theft","NA","investigation pending","2023-10-01","NA","NA","NA","NA","NA"
"1275","2023-00087216","theft","NA","investigation pending","2023-10-01","NA","NA","NA","NA","NA"
"1276","2023-00087217","fire","NA","cbe","2023-10-02","NA","NA","NA","NA","NA"
"1277","2023-00087218","theft","NA","investigation pending","2023-10-01","NA","NA","NA","NA","NA"
"1278","2023-00087222","theft","NA","investigation pending","2023-09-28","NA","NA","NA","NA","NA"
"1279","2023-00087239","theft","NA","investigation pending","2023-10-01","NA","NA","NA","NA","NA"
"1280","2023-00087249","theft","NA","investigation pending","2023-10-02","NA","NA","NA","NA","NA"
"1281","2023-00087273","theft","NA","investigation pending","2023-10-02","NA","NA","NA","NA","NA"
"1282","2023-00087517","injured/sick person","NA","cbe","2023-10-03","NA","NA","NA","NA","NA"
"1283","2023-00087551","theft","NA","investigation pending","2023-09-30","NA","NA","NA","NA","NA"
"1284","2023-00087595","injured/sick person","NA","cbe","2023-10-03","NA","NA","NA","NA","NA"
"1285","2023-00087596","theft","NA","investigation pending","2023-09-25","NA","NA","NA","NA","NA"
"1286","2023-00087819","pedestrian struck","NA","cbe","2023-10-04","NA","NA","NA","NA","NA"
"1287","2023-00087847","theft","NA","investigation pending","2023-10-03","NA","NA","NA","NA","NA"
"1288","2023-00087892","traffic offense","NA","active/pending","2023-10-02","NA","NA","NA","NA","NA"
"1289","2023-00087918","other incident","NA","cbe","2023-10-04","NA","NA","NA","NA","NA"
"1290","2023-00088153","cds violation","NA","cbe","2023-10-05","NA","NA","NA","NA","NA"
"1291","2023-00088233","carjacking","NA","active/pending","2023-10-05","NA","NA","NA","NA","NA"
"1292","2023-00088235","domestic","NA","cbe","2023-10-05","NA","NA","NA","NA","NA"
"1293","2023-00088238","theft","NA","investigation pending","2023-10-03","NA","NA","NA","NA","NA"
"1294","2023-00088257","assist other agency","robbery","cbe","2023-10-05","NA","NA","NA","NA","NA"
"1295","2023-00088276","alcohol violation","NA","arrest","2023-10-05","23884","Consuming/Possessing Open Alcoholic Beverage in Public","white","male","2023-10-05"
"1296","2023-00088320","injured/sick person","NA","cbe","2023-10-05","NA","NA","NA","NA","NA"
"1297","2023-00088352","injured/sick person","NA","cbe","2023-10-06","NA","NA","NA","NA","NA"
"1298","2023-00088384","alcohol violation","NA","arrest","2023-10-06","23885","Consuming/Possessing Open Alcoholic Beverage in Public","white","female","2023-10-06"
"1299","2023-00088465","theft","NA","investigation pending","2023-10-05","NA","NA","NA","NA","NA"
"1300","2023-00088525","assist other agency","vandalism","cbe","2023-09-30","NA","NA","NA","NA","NA"
"1301","2023-00088527","theft","NA","active/pending","2023-10-05","NA","NA","NA","NA","NA"
"1302","2023-00088538","accident","NA","cbe","2023-10-04","NA","NA","NA","NA","NA"
"1303","2023-00088554","accident","NA","cbe","2023-10-06","NA","NA","NA","NA","NA"
"1304","2023-00088596","theft from auto","NA","active/pending","2023-10-05","NA","NA","NA","NA","NA"
"1305","2023-00088608","theft","NA","investigation pending","2023-10-06","NA","NA","NA","NA","NA"
"1306","2023-00088659","other incident","NA","investigation pending","2023-10-06","NA","NA","NA","NA","NA"
"1307","2023-00088669","injured/sick person","NA","cbe","2023-10-06","NA","NA","NA","NA","NA"
"1308","2023-00088675","cds violation","NA","cbe","2023-10-06","NA","NA","NA","NA","NA"
"1309","2023-00088680","injured/sick person","NA","cbe","2023-10-06","NA","NA","NA","NA","NA"
"1310","2023-00088697","injured/sick person","NA","cbe","2023-10-06","NA","NA","NA","NA","NA"
"1311","2023-00088722","injured/sick person","NA","cbe","2023-10-07","NA","NA","NA","NA","NA"
"1312","2023-00088726","dwi/dui","NA","arrest","2023-10-07","23882","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","black","female","2023-10-07"
"1313","2023-00088742","assist other agency","assault","cbe","2023-10-07","NA","NA","NA","NA","NA"
"1314","2023-00088749","check on the  welfare","NA","cbe","2023-10-06","NA","NA","NA","NA","NA"
"1315","2023-00088761","assist other agency","theft from auto","cbe","2023-10-06","NA","NA","NA","NA","NA"
"1316","2023-00088880","theft","NA","summons issued","2023-10-07","NA","NA","NA","NA","NA"
"1317","2023-00089064","injured/sick person","NA","cbe","2023-10-07","NA","NA","NA","NA","NA"
"1318","2023-00089100","theft","NA","investigation pending","2023-10-08","NA","NA","NA","NA","NA"
"1319","2023-00089170","theft","NA","investigation pending","2023-10-08","NA","NA","NA","NA","NA"
"1320","2023-00089201","assist other agency","hate bias incident","cbe","2023-10-08","NA","NA","NA","NA","NA"
"1321","2023-00089216","injured/sick person","NA","cbe","2023-10-08","NA","NA","NA","NA","NA"
"1322","2023-00089272","injured/sick person","NA","cbe","2023-10-09","NA","NA","NA","NA","NA"
"1323","2023-00089273","assault","NA","cbe","2023-10-09","NA","NA","NA","NA","NA"
"1324","2023-00089295","assist other agency","robbery","cbe","2023-10-09","NA","NA","NA","NA","NA"
"1325","2023-00089466","theft","NA","investigation pending","2023-10-06","NA","NA","NA","NA","NA"
"1326","2023-00089497","emergency petition","NA","cbe","2023-10-09","NA","NA","NA","NA","NA"
"1327","2023-00089533","theft","NA","investigation pending","2023-10-08","NA","NA","NA","NA","NA"
"1328","2023-00089535","assist other agency","other","cbe","2023-10-09","NA","NA","NA","NA","NA"
"1329","2023-00089550","theft from auto","NA","investigation pending","2023-10-09","NA","NA","NA","NA","NA"
"1330","2023-00089743","injured/sick person","NA","cbe","2023-10-10","NA","NA","NA","NA","NA"
"1331","2023-00089757","theft","NA","unfounded","2023-10-10","NA","NA","NA","NA","NA"
"1332","2023-00089775","theft","NA","investigation pending","2023-10-09","NA","NA","NA","NA","NA"
"1333","2023-00089781","assist other agency","other","cbe","2023-10-09","NA","NA","NA","NA","NA"
"1334","2023-00089784","theft","NA","arrest","2023-10-09","23902","THEFT: $100 TO UNDER $1,500-From Building","white","male","2023-11-06"
"1335","2023-00089786","indecent exposure (title ix related)","NA","investigation pending","2023-10-10","NA","NA","NA","NA","NA"
"1336","2023-00089795","emergency petition","NA","cbe","2023-10-10","NA","NA","NA","NA","NA"
"1337","2023-00089905","suspicious person/auto","NA","cbe","2023-10-10","NA","NA","NA","NA","NA"
"1338","2023-00089947","injured/sick person","NA","cbe","2023-10-11","NA","NA","NA","NA","NA"
"1339","2023-00090039","theft","NA","unfounded","2023-10-10","NA","NA","NA","NA","NA"
"1340","2023-00090042","accident - departmental","NA","cbe","2023-10-11","NA","NA","NA","NA","NA"
"1341","2023-00090051","hazardous condition","NA","cbe","2023-10-11","NA","NA","NA","NA","NA"
"1342","2023-00090069","assist fire department","NA","cbe","2023-10-11","NA","NA","NA","NA","NA"
"1343","2023-00090072","injured/sick person","NA","cbe","2023-10-11","NA","NA","NA","NA","NA"
"1344","2023-00090073","assist other agency","assault","cbe","2023-10-10","NA","NA","NA","NA","NA"
"1345","2023-00090094","injured/sick person","NA","cbe","2023-10-11","NA","NA","NA","NA","NA"
"1346","2023-00090193","theft","NA","investigation pending","2023-10-11","NA","NA","NA","NA","NA"
"1347","2023-00090201","other incident","NA","cbe","2023-10-11","NA","NA","NA","NA","NA"
"1348","2023-00090314","recovered stolen property","NA","cbe","2023-10-12","NA","NA","NA","NA","NA"
"1349","2023-00090478","other incident","NA","investigation pending","2023-10-12","NA","NA","NA","NA","NA"
"1350","2023-00090490","emergency petition","NA","cbe","2023-10-12","NA","NA","NA","NA","NA"
"1351","2023-00090598","alarm","NA","cbe","2023-10-12","NA","NA","NA","NA","NA"
"1352","2023-00090619","injured/sick person","NA","cbe","2023-10-13","NA","NA","NA","NA","NA"
"1353","2023-00090626","injured/sick person","NA","cbe","2023-10-12","NA","NA","NA","NA","NA"
"1354","2023-00090820","theft","NA","investigation pending","2023-10-12","NA","NA","NA","NA","NA"
"1355","2023-00090826","other incident","NA","cbe","2023-10-13","NA","NA","NA","NA","NA"
"1356","2023-00090831","threat assessment","NA","active/pending","2023-10-01","NA","NA","NA","NA","NA"
"1357","2023-00090836","emergency petition","NA","active/pending","2023-10-13","NA","NA","NA","NA","NA"
"1358","2023-00090842","accident - departmental","NA","cbe","2023-10-13","NA","NA","NA","NA","NA"
"1359","2023-00090846","dept property damage/loss","NA","active/pending","2023-10-13","NA","NA","NA","NA","NA"
"1360","2023-00090847","vandalism","NA","investigation pending","2023-10-13","NA","NA","NA","NA","NA"
"1361","2023-00090898","injured/sick person","NA","cbe","2023-10-13","NA","NA","NA","NA","NA"
"1362","2023-00090944","injured/sick person","NA","cbe","2023-10-13","NA","NA","NA","NA","NA"
"1363","2023-00090954","injured/sick person","NA","cbe","2023-10-13","NA","NA","NA","NA","NA"
"1364","2023-00090963","sex offense (title ix related)","NA","investigation pending","2023-10-13","NA","NA","NA","NA","NA"
"1365","2023-00090984","assault","NA","cbe","2023-10-13","NA","NA","NA","NA","NA"
"1366","2023-00090987","assist other agency","other","cbe","2023-10-13","NA","NA","NA","NA","NA"
"1367","2023-00091027","injured/sick person","NA","cbe","2023-10-14","NA","NA","NA","NA","NA"
"1368","2023-00091034","other incident","NA","cbe","2023-10-14","NA","NA","NA","NA","NA"
"1369","2023-00091046","injured/sick person","NA","cbe","2023-10-14","NA","NA","NA","NA","NA"
"1370","2023-00091166","assault","NA","arrest","2023-10-14","23910","ASSAULT-FIRST DEGREE","asian","male","2023-11-15"
"1371","2023-00091167","vandalism","NA","investigation pending","2023-10-14","NA","NA","NA","NA","NA"
"1372","2023-00091222","cds violation","NA","cbe","2023-10-14","NA","NA","NA","NA","NA"
"1373","2023-00091224","theft from auto","NA","investigation pending","2023-10-14","NA","NA","NA","NA","NA"
"1374","2023-00091252","injured/sick person","NA","cbe","2023-10-14","NA","NA","NA","NA","NA"
"1375","2023-00091371","injured/sick person","NA","cbe","2023-10-15","NA","NA","NA","NA","NA"
"1376","2023-00091712","vandalism","NA","investigation pending","2023-10-14","NA","NA","NA","NA","NA"
"1377","2023-00091852","injured/sick person","NA","cbe","2023-10-15","NA","NA","NA","NA","NA"
"1378","2023-00091925","injured/sick person","NA","cbe","2023-10-15","NA","NA","NA","NA","NA"
"1379","2023-00092240","assist other agency","other","cbe","2023-10-16","NA","NA","NA","NA","NA"
"1380","2023-00092278","theft","NA","active/pending","2023-10-16","NA","NA","NA","NA","NA"
"1381","2023-00092291","other incident","NA","cbe","2023-10-14","NA","NA","NA","NA","NA"
"1382","2023-00092294","theft","NA","active/pending","2023-10-12","NA","NA","NA","NA","NA"
"1383","2023-00092374","vandalism","NA","investigation pending","2023-10-16","NA","NA","NA","NA","NA"
"1384","2023-00092599","assist other agency","check on the welfare","cbe","2023-10-17","NA","NA","NA","NA","NA"
"1385","2023-00092779","suspicious activity","NA","cbe","2023-10-17","NA","NA","NA","NA","NA"
"1386","2023-00092799","assist other agency","other","cbe","2023-10-06","NA","NA","NA","NA","NA"
"1387","2023-00092979","assist other agency","other","cbe","2023-10-18","NA","NA","NA","NA","NA"
"1388","2023-00092989","injured/sick person","NA","cbe","2023-10-18","NA","NA","NA","NA","NA"
"1389","2023-00092992","injured/sick person","NA","cbe","2023-10-18","NA","NA","NA","NA","NA"
"1390","2023-00093081","assist other agency","other","active/pending","2023-10-16","NA","NA","NA","NA","NA"
"1391","2023-00093092","dept property damage/loss","NA","cbe","2023-10-18","NA","NA","NA","NA","NA"
"1392","2023-00093093","other incident","NA","active/pending","2023-10-16","NA","NA","NA","NA","NA"
"1393","2023-00093158","assist other agency","other","active/pending","2023-10-15","NA","NA","NA","NA","NA"
"1394","2023-00093163","injured/sick person","NA","cbe","2023-10-18","NA","NA","NA","NA","NA"
"1395","2023-00093188","theft","NA","active/pending","2023-10-05","NA","NA","NA","NA","NA"
"1396","2023-00093200","injured/sick person","NA","cbe","2023-10-18","NA","NA","NA","NA","NA"
"1397","2023-00093214","theft","NA","investigation pending","2023-10-18","NA","NA","NA","NA","NA"
"1398","2023-00093321","theft","NA","investigation pending","2023-10-16","NA","NA","NA","NA","NA"
"1399","2023-00093397","injured/sick person","NA","cbe","2023-10-19","NA","NA","NA","NA","NA"
"1400","2023-00093581","assist other agency","other","cbe","2023-10-19","NA","NA","NA","NA","NA"
"1401","2023-00093587","theft","NA","investigation pending","2023-10-17","NA","NA","NA","NA","NA"
"1402","2023-00093674","stolen motor vehicle","NA","warrant issued","2023-10-17","NA","NA","NA","NA","NA"
"1403","2023-00093814","dept property damage/loss","NA","active/pending","2023-10-19","NA","NA","NA","NA","NA"
"1404","2023-00094210","other incident","NA","active/pending","2023-10-19","NA","NA","NA","NA","NA"
"1405","2023-00094230","lost property","NA","active/pending","2023-10-16","NA","NA","NA","NA","NA"
"1406","2023-00094382","injured/sick person","NA","cbe","2023-10-21","NA","NA","NA","NA","NA"
"1407","2023-00094386","injured/sick person","NA","cbe","2023-10-21","NA","NA","NA","NA","NA"
"1408","2023-00094424","injured/sick person","NA","cbe","2023-10-21","NA","NA","NA","NA","NA"
"1409","2023-00094616","injured/sick person","NA","cbe","2023-10-21","NA","NA","NA","NA","NA"
"1410","2023-00094654","theft from auto","NA","investigation pending","2023-10-16","NA","NA","NA","NA","NA"
"1411","2023-00094794","injured/sick person","NA","active/pending","2023-10-21","NA","NA","NA","NA","NA"
"1412","2023-00094796","injured/sick person","NA","cbe","2023-10-21","NA","NA","NA","NA","NA"
"1413","2023-00094797","dwi/dui","NA","arrest","2023-10-21","912","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; (Driving, Attempting to drive) veh. while impaired by alcohol; Failure to drive veh. on right half of roadway when required; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","black","male","2023-10-22"
"1414","2023-00094800","injured/sick person","NA","cbe","2023-10-22","NA","NA","NA","NA","NA"
"1415","2023-00094820","injured/sick person","NA","cbe","2023-10-22","NA","NA","NA","NA","NA"
"1416","2023-00094838","theft","NA","active/pending","2023-10-21","NA","NA","NA","NA","NA"
"1417","2023-00094888","theft","NA","arrest","2023-10-22","23898","THEFT: $100 TO UNDER $1,500-All Other","white","male","2023-10-22"
"1418","2023-00094930","injured/sick person","NA","cbe","2023-10-22","NA","NA","NA","NA","NA"
"1419","2023-00095111","assist other agency","vandalism","cbe","2023-10-21","NA","NA","NA","NA","NA"
"1420","2023-00095121","fraud","NA","cbe","2023-09-27","NA","NA","NA","NA","NA"
"1421","2023-00095140","burglary","NA","investigation pending","2023-10-22","NA","NA","NA","NA","NA"
"1422","2023-00095204","trespassing","NA","arrest","2023-10-22","23897","School Trespassing On Ground","black","male","2023-10-22"
"1423","2023-00095205","other incident","NA","active/pending","2023-10-22","NA","NA","NA","NA","NA"
"1424","2023-00095470","assist other agency","theft","cbe","2023-10-23","NA","NA","NA","NA","NA"
"1425","2023-00095471","domestic","NA","cbe","2023-10-23","NA","NA","NA","NA","NA"
"1426","2023-00095472","assist other agency","sex offense","cbe","2023-10-22","NA","NA","NA","NA","NA"
"1427","2023-00095475","peeping tom (title ix related)","NA","active/pending","2023-10-23","NA","NA","NA","NA","NA"
"1428","2023-00095613","dwi/dui","NA","arrest","2023-10-24","23893","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","black","male","2023-10-24"
"1429","2023-00095615","theft","NA","active/pending","2023-10-22","NA","NA","NA","NA","NA"
"1430","2023-00095688","trespassing","NA","cbe","2023-10-24","NA","NA","NA","NA","NA"
